Country,Screen_name,Tweet,Date,Polarity,Subjectivity
Egypt,SHE7ATA_1, Whats ,Sat Jan 02 15:04:28 +0000 2021,0.0,0.0
Egypt,Jashona8,and we BOTH HAVE TO BE AT 7am MASS ,Sat Jan 02 15:04:24 +0000 2021,0.0,0.0
Egypt,panggilajaconk, RIP laptop,Sat Jan 02 15:04:22 +0000 2021,0.0,0.0
Egypt,aliaagamal55, Hammmoouuuutttttt,Sat Jan 02 15:04:19 +0000 2021,0.0,0.0
Egypt,AhmedMo81876074," No, you're not, never think that way! We all do mistakes and regret but that doesn't mean we're totally bad... The absolute consequence from doing mistakes is learning from them, no body improves without falling and then standing up again!",Sat Jan 02 15:04:19 +0000 2021,-0.2541666666666666,0.7513888888888888
Egypt,MohamedGBeshir,My review of Promising Young Woman on Letterboxd ,Sat Jan 02 15:04:17 +0000 2021,0.15000000000000002,0.45
Egypt,NadineEzzaldin,I need A Gym partner..!!,Sat Jan 02 15:04:16 +0000 2021,0.0,0.0
Egypt,Koky92117675,SooCute ,Sat Jan 02 15:04:14 +0000 2021,0.0,0.0
Egypt,salah_tarek98, I can't imagine my late night without my lovely JAWN. ,Sat Jan 02 15:04:13 +0000 2021,0.1,0.675
Egypt,doaaa9351, Love u ,Sat Jan 02 15:04:13 +0000 2021,0.5,0.6
Egypt,KhaledGhetas, you might be interested in this seems to do Arabic justification better than anything Ive seen before.,Sat Jan 02 15:04:12 +0000 2021,0.375,0.5
Egypt,khaledabfelhafe, Have nice time and Beautiful day Sweet mouna ,Sat Jan 02 15:04:12 +0000 2021,0.6,0.8833333333333333
Egypt,Rou1112000, He's Kerem's bestfriend and Dilara is hande's bestfriend,Sat Jan 02 15:04:11 +0000 2021,0.0,0.0
Egypt,EgyptDiva,There should be a legal limit to how many times a fandom could get clowned.,Sat Jan 02 15:04:04 +0000 2021,0.35,0.35
Egypt,Raafat____,"your brain..

but also why would a tweet if i like pizza would get a lot of likes- ",Sat Jan 02 15:04:03 +0000 2021,0.0,0.0
Egypt,Majeed98669428, Nice shack,Sat Jan 02 15:04:00 +0000 2021,0.6,1.0
Egypt,Eldod303,Nope ,Sat Jan 02 15:03:58 +0000 2021,0.0,0.0
Egypt,D_DIRTY_KID_DD," #FlowerDonghyukDay
ACE DONGHYUK DAY!

 
 Happy birthday to Our Flower",Sat Jan 02 15:03:57 +0000 2021,0.8,1.0
Egypt,YasserAlSebaee,It's never easy,Sat Jan 02 15:03:51 +0000 2021,-0.21666666666666667,0.8333333333333334
Egypt,mohamedmansor55,"Welcome back dear depression. Just in time, just in time.",Sat Jan 02 15:03:50 +0000 2021,0.4,0.45
Egypt,AhmedZa84645193," its been weeks since Ive requested the cyberpunk refund, and I havent gotten anything yet. Please help, I emailed Sony twice and chatted with the support not multiple times to no avail.",Sat Jan 02 15:03:48 +0000 2021,0.0,0.0
Egypt,MEGZOOOO1,some support ,Sat Jan 02 15:03:47 +0000 2021,0.0,0.0
