Country,Screen_name,Tweet,Date,Polarity,Subjectivity
Egypt,rereonfroy,Like for song and back.,Wed Dec 30 19:25:57 +0000 2020,0.0,0.0
Egypt,noorwzaki1," ive very rarely listened to a podcast, recommend some",Wed Dec 30 19:25:56 +0000 2020,0.39,1.0
Egypt,imoostafa,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary ,Wed Dec 30 19:25:48 +0000 2020,0.0,0.0
Egypt,habitualRM, ANYONE IS COMING #BieberNYE,Wed Dec 30 19:25:48 +0000 2020,0.0,0.0
Egypt,VodafoneEgypt," Could you tell us you try to renew the bundle or you need to subscribe to it?
 EM",Wed Dec 30 19:25:45 +0000 2020,0.0,0.0
Egypt,liliimostafaa, 4D! (4 because the shirt says daddy),Wed Dec 30 19:25:44 +0000 2020,0.0,0.0
Egypt,4evera1n, jimin is adorable,Wed Dec 30 19:25:42 +0000 2020,0.5,1.0
Egypt,omar_M_eisa, You are the most cure girl I have ever seen ,Wed Dec 30 19:25:35 +0000 2020,0.5,0.5
Egypt,4evera1n, jimin is wonderful,Wed Dec 30 19:25:35 +0000 2020,1.0,1.0
Egypt,haneenx2001,"it's short and thick, curly and wild... resulting in my own personal halo &lt;3",Wed Dec 30 19:25:32 +0000 2020,0.07999999999999999,0.49499999999999994
Egypt,healing23584507,"Being an Egyptian watching WW1984 is like
#ww84 #ww1984 #wonderwoman #egypt ",Wed Dec 30 19:25:29 +0000 2020,0.0,0.0
Egypt,4evera1n, jimin is cute,Wed Dec 30 19:25:26 +0000 2020,0.5,1.0
Egypt,AhmdMmdoh,"Just posted a photo @ Nasr City, Cairo, Egypt ",Wed Dec 30 19:25:25 +0000 2020,0.0,0.0
Egypt,Raneememememe,If it was that simple id have a bf already ,Wed Dec 30 19:25:25 +0000 2020,0.0,0.35714285714285715
Egypt,izlamz,"Anything ?
",Wed Dec 30 19:25:23 +0000 2020,0.0,0.0
Egypt,nadaaahmk,if you tested positive for corona then you quarantined and you finished your quarantine time khalas do you have to test again orrrr,Wed Dec 30 19:25:22 +0000 2020,0.22727272727272727,0.5454545454545454
Egypt,4evera1n, jimin is awesome,Wed Dec 30 19:25:22 +0000 2020,1.0,1.0
