Country,Screen_name,Tweet,Date,Polarity,Subjectivity
Egypt,Nour_houranii, i agree,Thu Jan 14 20:15:47 +0000 2021,0.0,0.0
Egypt,Yasmine44867294, World wide Handsome ,Thu Jan 14 20:15:32 +0000 2021,0.2,0.7
Egypt,CBAnrickX, Welcome,Thu Jan 14 20:15:31 +0000 2021,0.8,0.9
Egypt,stadjoshi, Happy Birthday to you,Thu Jan 14 20:15:25 +0000 2021,0.8,1.0
Egypt,Hragy,Seriously who would want to buy a dog from a breed totally unsuitable for Egypts weather when you can save and adopt the likes of Leo and Layla? Saved in Sharm El Sheikh as dying pups ,Thu Jan 14 20:15:23 +0000 2021,-0.16666666666666666,0.7083333333333333
Egypt,ElhodaKhaled,Me to me every night: ,Thu Jan 14 20:15:23 +0000 2021,0.0,0.0
Egypt,Ayayass59986027,asked me anything!!# ,Thu Jan 14 20:15:03 +0000 2021,0.0,0.0
Egypt,RamiDarwish10," 1912 Peugeot Bb 6HP Type BPI Two-Seat Tourer

The Peugeot Bb or Baby was produced from 1904 to 1916. The Bebe Type 69 was produced from 1904 through 1912 followed by the Type BP1 which remained in production until 1916.

In 1904,Read More: ",Thu Jan 14 20:15:01 +0000 2021,0.5,0.5
Egypt,HannahNawar, thats what they all say,Thu Jan 14 20:15:01 +0000 2021,0.0,0.0
Egypt,jddeepp,I need some space from it all,Thu Jan 14 20:14:56 +0000 2021,0.0,0.0
Egypt,zeina__ahmed__, omg you didnt know? its cause they were filming in his hotel,Thu Jan 14 20:14:56 +0000 2021,0.0,0.0
Egypt,_eaglebearer, me doing it instead,Thu Jan 14 20:14:51 +0000 2021,0.0,0.0
Egypt,HassanAlySaleh,Just posted a photo ,Thu Jan 14 20:14:49 +0000 2021,0.0,0.0
Egypt,monaamasha,Irrational,Thu Jan 14 20:14:45 +0000 2021,0.0,0.0
Egypt,texasjuless, Just dead cells vibing,Thu Jan 14 20:14:42 +0000 2021,-0.2,0.4
Egypt,roratarek,"Thank you for being our guest in Kanabet Anghami 
Episode is live now 
.
.
#_ #anghami #nesmamahgoub @ Anghami Cairo ",Thu Jan 14 20:14:40 +0000 2021,0.13636363636363635,0.5
Egypt,usfngm, ana 5oft fash5 ,Thu Jan 14 20:14:36 +0000 2021,0.0,0.0
Egypt,anislandher,"How cool are these rugby players, putting such a huge smile on my son's face on his last day of a 5 month nightmare?",Thu Jan 14 20:14:29 +0000 2021,0.21000000000000002,0.44333333333333336
Egypt,rotiishyy,somebody to hold,Thu Jan 14 20:14:27 +0000 2021,0.0,0.0
