Country,Screen_name,Tweet,Date,Polarity,Subjectivity
Egypt,DONGOl74, Bigg,Tue Jan 12 22:03:35 +0000 2021,0.0,0.0
Egypt,mohamed20364219,Like ,Tue Jan 12 22:03:35 +0000 2021,0.0,0.0
Egypt,zeinability, Waiting ,Tue Jan 12 22:03:31 +0000 2021,0.0,0.0
Egypt,Ezzeldeen77,hellooooo ,Tue Jan 12 22:03:31 +0000 2021,0.0,0.0
Egypt,StarsandSteel, Ahhhhhh my favourite ,Tue Jan 12 22:03:28 +0000 2021,0.0,0.0
Egypt,_moharam10,mood ,Tue Jan 12 22:03:28 +0000 2021,0.0,0.0
Egypt,thestruidoo,I'd catch a grenade for ya ,Tue Jan 12 22:03:26 +0000 2021,0.0,0.0
Egypt,KenzyBassem5, my moms phone password is my brothers birthday...,Tue Jan 12 22:03:26 +0000 2021,0.0,0.0
Egypt,actuallyeman," So sorry for your loss, Liam",Tue Jan 12 22:03:26 +0000 2021,-0.5,1.0
Egypt,hindsrk2, love you forever ,Tue Jan 12 22:03:25 +0000 2021,0.5,0.6
Egypt,Weirdo__MO,"If i turn my serious talk into laughter, that means this shit really HURT me inside.",Tue Jan 12 22:03:25 +0000 2021,-0.1111111111111111,0.5555555555555556
Egypt,lookwhosTalkin0,Sexy fox face ,Tue Jan 12 22:03:23 +0000 2021,0.5,1.0
Egypt,Monna15498331, Follow,Tue Jan 12 22:03:20 +0000 2021,0.0,0.0
Egypt,leilaelbably, my sister is 10 and im 15.,Tue Jan 12 22:03:19 +0000 2021,0.0,0.0
Egypt,WaelAhmad__,"Just be honest, it saves everyones time",Tue Jan 12 22:03:16 +0000 2021,0.6,0.9
Egypt,ElhodaKhaled,Unfortunately I can't escape this time ,Tue Jan 12 22:03:12 +0000 2021,-0.5,1.0
Egypt,SarkisHaya,life is like a dick,Tue Jan 12 22:03:09 +0000 2021,0.0,0.0
Egypt,alphamicromeo, Fsg out?,Tue Jan 12 22:03:08 +0000 2021,0.0,0.0
Egypt,ShenoudaFawzi,In case you're interested ,Tue Jan 12 22:03:07 +0000 2021,0.25,0.5
Egypt,AHoussin_, I want my 60 seconds back,Tue Jan 12 22:03:06 +0000 2021,0.0,0.0
Egypt,esraaabdellah_,"Lol, tab howa ezay djimmy is not embarrassed bgd?",Tue Jan 12 22:03:05 +0000 2021,0.8,0.7
Egypt,NoraMoh13201008, A yasty e2mr da,Tue Jan 12 22:03:05 +0000 2021,0.0,0.0
Egypt,die_Teja,"Morrissey is such a piece of shit for putting these two songs after each other in Louder Than Bombs

",Tue Jan 12 22:03:04 +0000 2021,-0.10833333333333334,0.5583333333333333
Egypt,Mennafatouh7,"And the greatest shock will be from your closest ones, but then youll feel nothing.",Tue Jan 12 22:03:02 +0000 2021,1.0,1.0
Egypt,hanaahahahaha,old ppl r so cute i cant,Tue Jan 12 22:03:02 +0000 2021,0.3,0.6
Egypt,ahmed_alkarmoty,I wanna live before i die,Tue Jan 12 22:03:00 +0000 2021,0.13636363636363635,0.5
Egypt,nemrnour4," This was the period in which Tram was ruled a hell for the Arab peoples, and with its departure the Arab rulers began to change their brutal policies.",Tue Jan 12 22:02:58 +0000 2021,-0.875,1.0
Egypt,NouranTarek244,Im feeling 22,Tue Jan 12 22:02:55 +0000 2021,0.0,0.0
