Country,Screen_name,Tweet,Date,Polarity,Subjectivity
Egypt,3omarAshraf9,the media power ,Fri Jan 01 17:24:38 +0000 2021,0.0,0.0
Egypt,Debieky_FPL,"Of course if I had a playing sub GK Fabianski would've get the injury 2 minutes into the game

#FPL",Fri Jan 01 17:24:36 +0000 2021,-0.4,0.4
Egypt,MennaMohamed47,all of the stars have a reason,Fri Jan 01 17:24:36 +0000 2021,0.0,0.0
Egypt,Mohamme84573320, Come to my,Fri Jan 01 17:24:34 +0000 2021,0.0,0.0
Egypt,malumaelghalaba,"So my printings came to life today :"") 
Yes am happy 

But it's a bit of a sad day to me",Fri Jan 01 17:24:30 +0000 2021,0.15000000000000002,1.0
Egypt,Magaska_," It might be literal,who knows. They could pull a mirai nikki and kill theirselves in another universe and be a ""new"" me.",Fri Jan 01 17:24:25 +0000 2021,0.13636363636363635,0.45454545454545453
Egypt,hanoushfayyad, True,Fri Jan 01 17:24:24 +0000 2021,0.35,0.65
Egypt,RonaCreation," No problem babe, the most important thing is that you remembered me ",Fri Jan 01 17:24:17 +0000 2021,0.45,0.75
Egypt,M7md_awadd, Roh albyy ,Fri Jan 01 17:24:16 +0000 2021,0.0,0.0
Egypt,_LM_____,Not okaay but it's okay.,Fri Jan 01 17:24:15 +0000 2021,0.5,0.5
Egypt,YasminKhalaff,Only took me 23 years but my childhood dream of having babylights in my bedroom is finally a reality ,Fri Jan 01 17:24:14 +0000 2021,0.0,1.0
Egypt,ImaHaDii,"And I don't care if I sing off key
I found myself in my melodies
I sing for love, I sing for me
I shout it out like a SYMPHONY",Fri Jan 01 17:24:13 +0000 2021,0.25,0.8
Egypt,3bdooo74, Happy Birthday Roza,Fri Jan 01 17:24:12 +0000 2021,0.8,1.0
Egypt,Bizzles_lady, HELP-,Fri Jan 01 17:24:12 +0000 2021,0.0,0.0
Egypt,kgatchalian_, oo naman!! happy new yearrrr! imyyyyy,Fri Jan 01 17:24:08 +0000 2021,0.48522727272727273,0.7272727272727273
Egypt,LaDonna07557333, Exactly what I was just thinking ,Fri Jan 01 17:24:05 +0000 2021,0.25,0.25
Egypt,liliimostafaa,where is liyah kman i dont remember her @,Fri Jan 01 17:24:05 +0000 2021,0.0,0.0
Egypt,AshrafDali,"#_
5
The heavenly words of the holy texts 
Are formed by the same letters 
Of insults being exchanged by 
Thieves and liars 
Street sellers 
Corrupted and corrupting people 
As if we were the only prophets 
Given the revelation 
Leaving the lost words 
For the rest ",Fri Jan 01 17:24:05 +0000 2021,0.0,0.5625
Egypt,pyramidrews,anyone is such a good song omg!!,Fri Jan 01 17:24:04 +0000 2021,0.5,0.55
Egypt,kimosepticeye, Awy b2aa,Fri Jan 01 17:24:04 +0000 2021,0.0,0.0
Egypt,heba_ismail02, Same ya yasmeen same ,Fri Jan 01 17:23:59 +0000 2021,0.0,0.125
Egypt,MedMesss," I read it ""vaccination"" ",Fri Jan 01 17:23:58 +0000 2021,0.0,0.0
Egypt,ffrriiddaayy1,Happy birthday ,Fri Jan 01 17:23:55 +0000 2021,0.8,1.0
Egypt,MahaAttia,An out of context 2020 bizarre moment.... I am so thankful for the duck's lake presence thought!! ,Fri Jan 01 17:23:54 +0000 2021,0.625,0.6
Egypt,Basma_AbdelF, Jimmy hotel. Enta a3ed fein?,Fri Jan 01 17:23:53 +0000 2021,0.0,0.0
Egypt,loleng_tmprry,im so happpppy!!!!! ,Fri Jan 01 17:23:53 +0000 2021,0.0,0.0
Egypt,uokaangle93,It's also Burning btw ,Fri Jan 01 17:23:48 +0000 2021,0.0,0.0
Egypt,ek__hasina__thi,"A question that occurred to me: Where did Ankita celebrate yesterday, and was Sandip with her at the party ???
 #NewYear4Sushant",Fri Jan 01 17:23:45 +0000 2021,0.0,0.0
Egypt,zalouka,"Happy New Year for all my family, friends, colleagues and to all the peaceful world. May the new year bring happiness, peace, love, health and hope for everyone. GOD bless Egypt and the peaceful world. 2020 was difficult year, lets pray for a better 2021. 
 ",Fri Jan 01 17:23:43 +0000 2021,0.30808080808080807,0.5787878787878787
Egypt,calithebes6,but anyways yall was ugly ashell lastnight no cap,Fri Jan 01 17:23:34 +0000 2021,-0.7,1.0
Egypt,AliaaShams4,Officially 24 ,Fri Jan 01 17:23:33 +0000 2021,0.0,0.0
Egypt,KarimNEricB, what's the point of paying for your service if you bombard my phone with unblockable ads? Should be free then...,Fri Jan 01 17:23:31 +0000 2021,0.4,0.8
Egypt,RYissl, Symbolism will..........,Fri Jan 01 17:23:31 +0000 2021,0.0,0.0
Egypt,AminaNessim1,legend says corona stays at the marina when you get on a yacht,Fri Jan 01 17:23:27 +0000 2021,0.0,0.0
Egypt,_DoDo_2020, Follow ,Fri Jan 01 17:23:26 +0000 2021,0.0,0.0
Egypt,FicklyFlick,Hello .. ,Fri Jan 01 17:23:25 +0000 2021,0.0,0.0
